"","CCAA","SEXO","EDAD","P1","P2","P3","P4","P5","P6","P7","ECOESP","ECOPER","CONFIANZAPTE","CONFIANZAOPOSIC"
"101",1,1,59,2,2,2,1,1,1,0,4,3,4,3
"102",1,2,77,1,1,1,1,1,1,0,4,4,4,2
"103",1,2,77,1,2,3,8,1,3,1,4,2,4,3
"104",1,1,50,1,3,1,2,1,1,0,4,3,8,8
"105",1,1,50,1,3,1,3,1,1,0,5,4,4,4
"106",1,1,48,2,3,2,2,1,2,1,2,2,2,3
"107",1,1,47,1,2,2,1,1,2,1,2,2,2,4
"108",1,1,60,2,3,2,1,1,2,2,4,2,2,4
"109",1,1,46,2,1,2,1,1,1,0,4,3,2,4
"110",1,2,45,1,2,1,1,1,2,2,4,2,2,3
"111",1,1,50,2,3,1,1,1,1,0,5,4,4,2
"112",1,2,55,2,3,1,2,1,1,0,5,5,4,2
"113",1,1,42,2,3,1,8,1,2,1,5,5,4,4
"114",1,1,71,1,1,3,2,1,2,1,4,2,2,4
"115",1,1,65,2,2,2,1,1,2,1,4,4,1,4
"116",1,2,74,1,2,1,2,1,1,0,5,3,4,3
"117",1,1,31,2,1,1,9,1,1,0,1,1,2,2
"118",1,1,56,2,2,2,1,1,2,2,4,3,4,3
"119",1,1,56,2,1,1,1,1,2,1,4,2,3,4
"120",1,1,43,1,2,3,1,1,2,2,4,4,4,3
"121",1,2,56,2,2,2,8,1,2,2,4,4,3,3
"122",1,2,68,2,1,2,1,1,1,0,2,2,8,8
"123",1,2,50,2,1,1,1,1,1,0,4,2,4,4
"124",1,1,19,2,2,3,1,1,2,1,4,4,2,3
"125",1,1,38,4,2,2,1,1,1,0,4,5,3,3
"126",1,2,55,1,3,1,1,1,1,0,4,1,2,4
"127",1,2,27,1,1,1,8,1,3,1,4,4,3,3
"128",1,2,52,2,1,1,1,1,1,0,3,3,2,4
"129",1,1,19,2,1,1,1,1,2,2,4,2,3,3
"130",1,1,25,2,2,2,1,1,2,2,5,2,4,3
"131",1,2,73,1,1,3,1,1,2,1,5,3,4,4
"132",1,2,44,2,1,3,3,2,2,2,5,4,4,3
"133",1,1,57,2,2,3,1,1,2,2,4,2,3,3
"134",1,1,60,2,2,1,1,1,1,0,5,2,4,3
"135",1,1,30,2,1,2,1,1,1,0,4,2,2,3
"136",1,1,46,1,1,2,1,1,1,0,4,4,3,3
"137",1,2,43,1,3,1,3,1,1,0,4,4,3,3
"138",1,2,64,1,1,3,1,1,1,0,4,2,4,3
"139",1,1,47,2,3,8,8,1,8,1,5,3,4,3
"140",1,1,56,2,1,1,3,1,1,0,4,2,4,4
"141",1,2,25,4,2,3,1,1,2,1,5,5,4,4
"142",1,2,18,2,2,1,1,1,2,1,4,2,3,4
"143",1,2,72,2,1,2,1,1,3,1,3,2,2,2
"144",1,1,69,4,2,3,9,2,2,2,4,2,4,4
"145",1,1,65,2,2,1,1,1,1,0,2,3,1,4
"146",1,1,51,4,2,3,1,1,2,2,5,4,4,2
"147",1,2,64,2,1,2,1,1,1,0,2,2,2,4
"148",1,2,35,1,1,1,2,1,1,0,4,2,3,3
"149",1,2,23,2,2,1,1,1,1,0,4,4,3,3
"150",1,1,47,1,1,2,1,1,2,2,4,2,3,4
"151",1,1,55,1,2,3,1,1,1,0,2,2,4,3
"152",1,2,48,2,1,3,1,1,8,1,4,2,3,3
"153",1,1,62,1,2,3,2,1,1,0,4,3,1,4
"154",1,1,57,1,2,3,3,2,2,2,5,2,4,4
"155",1,1,37,5,4,3,1,1,2,1,4,2,8,8
"156",1,1,66,1,2,3,1,1,1,0,4,2,2,4
"157",1,2,58,1,1,3,1,1,1,0,3,2,3,4
"158",1,1,43,2,1,1,2,1,1,0,5,2,4,4
"159",1,1,54,2,1,1,3,1,1,0,5,3,4,2
"160",1,1,44,1,3,3,1,1,2,1,4,2,4,2
"161",1,1,22,1,3,1,3,1,2,1,5,4,3,2
"162",1,2,46,1,3,1,9,1,1,0,3,3,3,3
"163",1,1,44,2,2,3,1,1,1,0,2,2,4,2
"164",1,2,30,2,1,3,2,1,1,0,4,2,3,3
"165",1,2,39,2,3,1,8,1,1,0,5,4,4,4
"166",1,2,39,2,1,1,2,1,1,0,2,2,4,3
"167",1,2,85,1,8,8,1,1,1,0,8,8,8,8
"168",1,2,42,1,3,3,2,1,1,0,4,2,4,2
"169",1,1,28,4,2,2,1,1,2,2,4,4,4,3
"170",1,2,53,2,3,1,3,1,1,0,4,3,3,3
"171",1,2,80,2,1,1,8,1,1,0,4,2,3,3
"172",1,1,58,2,2,1,8,1,1,0,5,2,4,1
"173",1,2,35,1,2,1,1,1,2,1,4,4,3,4
"174",1,1,33,2,2,3,1,1,2,2,2,2,4,4
"175",1,2,75,1,3,8,9,1,1,0,5,2,4,2
"176",1,2,62,1,2,3,1,1,2,2,4,2,4,3
"177",1,1,62,1,1,2,1,1,1,0,2,2,2,3
"178",1,1,46,2,2,1,2,1,1,0,5,2,4,4
"179",1,1,48,1,2,1,1,1,2,1,5,2,4,3
"180",1,2,74,2,3,1,3,1,1,0,4,2,8,4
"181",1,2,50,1,2,8,1,1,2,2,3,2,2,3
"182",1,1,45,1,1,1,1,1,2,1,4,2,2,4
"183",1,1,73,2,3,2,2,1,1,0,3,2,2,4
"184",1,1,48,2,1,1,1,1,1,0,2,2,3,3
"185",1,1,47,1,1,1,1,1,2,1,4,2,4,4
"186",1,1,61,2,1,2,1,1,2,1,2,4,2,4
"187",1,2,73,4,2,3,2,1,1,0,2,2,2,4
"188",1,2,30,2,1,1,2,1,8,8,4,2,3,3
"189",1,2,56,1,1,2,1,1,2,1,4,4,4,4
"190",1,1,77,2,3,3,3,1,2,2,5,2,4,2
"191",1,2,52,2,1,1,1,1,1,0,4,3,3,3
"192",1,2,51,1,2,2,1,1,1,0,3,2,1,3
"193",1,2,53,4,2,2,2,1,1,0,2,2,1,3
"194",1,1,48,5,1,8,3,1,1,0,4,1,4,3
"195",1,1,71,2,1,1,1,1,1,0,4,2,3,3
"196",1,2,36,2,3,1,1,1,2,1,5,4,4,4
"197",1,2,30,1,1,2,2,1,2,2,4,2,4,2
"198",1,2,78,1,2,1,8,1,1,0,4,2,1,3
"199",1,2,52,1,2,1,3,1,1,0,2,5,1,1
"200",1,2,61,1,2,2,2,1,1,0,4,2,3,3
"201",1,1,32,2,2,3,9,1,1,0,2,2,3,4
"202",1,2,40,1,1,2,1,1,1,0,4,2,3,4
"203",1,2,54,1,1,1,1,1,1,0,4,2,4,3
"204",1,2,82,2,1,1,1,1,1,0,2,2,3,2
"205",1,2,51,3,2,8,8,1,1,0,3,3,3,8
"206",1,2,80,1,3,2,1,1,1,0,3,3,2,4
"207",1,1,79,2,1,1,2,1,1,0,5,3,4,3
"208",1,1,68,2,3,3,1,1,2,2,4,2,4,3
"209",1,2,70,1,3,8,8,1,8,1,2,2,1,4
"210",1,2,37,2,2,1,1,1,1,0,4,2,4,4
"211",1,1,54,2,2,3,1,1,1,0,4,2,4,4
"212",1,1,67,1,1,3,8,1,1,0,2,3,2,4
"213",1,2,76,1,3,2,8,1,1,0,4,4,3,4
"214",1,1,48,1,3,2,2,1,2,1,4,2,4,3
"215",1,2,54,1,1,2,1,1,1,0,4,2,3,3
"216",1,2,70,2,3,1,8,1,2,1,5,2,4,3
"217",1,2,41,2,2,2,1,1,2,1,4,2,3,3
"218",1,1,48,2,2,3,2,1,2,1,3,3,2,3
"219",1,1,21,4,1,2,1,1,1,0,3,3,3,3
"220",1,2,63,2,3,2,1,1,1,0,4,2,3,3
"221",1,1,44,2,1,2,1,1,1,0,4,4,3,4
"222",1,1,25,2,2,3,1,1,1,0,2,2,3,2
"223",1,1,29,4,2,3,1,1,2,2,4,2,3,4
"224",1,2,57,3,2,9,8,1,8,1,3,2,4,3
"225",1,2,66,4,1,2,1,1,2,1,2,2,2,3
"226",1,2,53,1,1,1,1,1,2,1,5,2,3,3
"227",1,1,47,2,2,3,1,1,2,2,8,2,2,3
"228",1,2,90,5,1,8,8,1,2,1,2,1,4,2
"229",1,1,59,2,2,3,1,1,1,0,5,5,2,3
"230",1,1,25,2,1,1,3,1,8,8,2,2,3,3
"231",1,1,53,1,1,3,2,1,1,0,4,2,3,3
"232",1,2,59,4,2,1,1,1,1,0,3,2,2,4
"233",1,2,33,4,1,3,1,1,1,0,2,4,3,4
"234",1,1,39,2,3,1,1,1,1,0,5,4,3,3
"235",1,1,56,2,2,3,1,1,2,2,4,2,4,3
"236",1,2,50,4,3,1,8,1,2,1,4,2,2,3
"237",1,1,56,2,2,1,2,1,1,0,4,2,4,3
"238",1,2,86,1,3,8,8,1,1,0,3,2,1,3
"239",1,2,20,1,1,3,1,1,2,2,2,2,3,4
"240",1,2,66,2,1,2,9,1,9,1,4,2,2,4
"241",1,2,23,2,2,2,1,1,8,1,4,2,3,2
"242",1,2,50,2,1,1,2,1,1,0,5,2,4,4
"243",1,1,57,4,2,3,1,1,1,0,2,2,4,3
"244",1,1,45,2,3,1,2,1,1,0,3,3,3,4
"245",1,2,72,4,2,3,1,1,1,0,4,2,4,2
"246",1,1,67,3,2,2,1,1,1,0,2,2,3,3
"247",1,2,66,2,3,2,2,1,3,1,4,2,2,4
"248",1,1,27,4,2,2,2,1,2,2,5,2,4,4
"249",1,2,76,2,3,8,8,1,3,1,2,2,3,2
"250",1,2,42,2,1,1,1,1,2,1,4,2,4,4
"251",1,2,43,1,1,2,2,1,1,0,4,3,3,3
"252",1,2,24,2,1,1,2,1,2,2,2,2,3,3
"253",1,1,70,2,2,2,1,1,1,0,4,2,4,3
"254",1,1,52,4,1,3,1,1,2,2,3,2,1,3
"255",1,2,56,1,3,2,1,1,1,0,2,2,2,4
"256",1,2,58,2,1,2,3,1,1,0,3,3,2,2
"257",1,2,75,5,2,3,1,1,2,2,5,3,3,9
"258",1,1,39,4,1,2,8,1,1,0,2,2,4,4
"259",1,2,49,1,3,1,2,1,2,1,4,2,4,4
"260",1,2,18,2,1,1,3,1,1,0,4,2,3,3
"261",1,2,61,1,1,2,3,1,8,1,3,5,1,3
"262",1,2,67,1,2,2,1,1,1,0,4,2,4,1
"263",1,2,69,2,2,3,2,1,1,0,4,2,2,3
"264",1,1,31,2,2,3,2,1,2,2,4,5,2,4
"265",1,2,66,2,1,3,2,1,1,0,4,3,3,4
"266",1,1,50,1,3,1,8,1,2,1,3,3,3,9
"267",1,2,56,1,3,2,8,1,8,1,5,4,4,4
"268",1,2,71,2,3,2,8,1,2,1,3,2,2,4
"269",1,2,21,2,1,2,2,1,2,1,2,2,3,3
"270",1,2,59,2,3,1,8,1,1,0,5,4,4,4
"271",1,2,73,1,1,9,1,1,1,0,4,2,4,2
"272",1,2,69,1,2,1,2,1,1,0,4,3,2,4
"273",1,2,65,4,2,1,1,1,1,0,5,2,4,3
"274",1,1,46,1,2,1,1,2,2,2,4,5,2,2
"275",1,1,48,1,1,2,1,1,8,1,2,2,2,3
"276",1,1,27,4,2,2,1,1,2,2,5,1,4,4
"277",1,1,24,2,2,2,1,1,2,1,5,2,4,3
"278",1,1,63,1,3,3,8,1,3,1,4,2,3,3
"279",1,2,46,4,1,3,1,1,1,0,2,2,3,3
"280",1,2,55,2,1,1,1,1,1,0,4,5,1,4
"281",1,2,77,1,1,8,3,1,2,1,5,4,4,2
"282",1,1,38,1,1,1,2,1,1,0,5,4,3,3
"283",1,2,66,4,1,8,1,1,8,1,5,3,3,3
"284",1,1,38,1,1,1,1,1,1,0,2,2,3,4
"285",1,2,82,1,3,1,8,1,1,0,5,2,4,2
"286",1,2,36,1,3,2,1,1,1,0,4,1,4,1
"287",1,2,20,2,1,1,1,1,1,0,2,2,4,3
"288",1,2,20,2,3,3,1,1,2,1,4,2,3,3
"289",1,1,21,2,2,1,1,1,1,0,5,2,3,4
"290",1,1,57,2,1,2,1,1,2,2,4,1,2,3
"291",1,2,53,2,3,1,2,1,1,0,4,2,4,3
"292",1,1,26,5,2,1,1,1,2,2,5,4,4,4
"293",1,1,19,1,1,1,1,2,2,1,4,2,4,4
"294",1,2,47,2,1,2,1,1,8,1,2,2,2,3
"295",1,1,40,1,1,2,1,1,2,1,2,2,4,3
"296",1,2,28,3,2,3,8,2,2,2,4,9,3,4
"297",1,2,43,1,3,1,2,1,1,0,5,4,4,4
"298",1,1,35,1,1,2,2,1,1,0,2,2,3,4
"299",1,2,70,2,1,1,3,1,1,0,5,2,4,2
"300",1,1,29,4,2,3,8,1,2,2,5,1,4,4
"301",1,1,25,8,1,1,1,1,1,0,3,3,4,3
"302",1,2,35,1,1,3,1,1,1,0,2,2,2,3
"303",1,2,73,4,1,3,1,2,8,1,5,3,3,4
"304",1,1,22,4,2,2,1,1,2,2,4,2,1,3
"305",1,1,26,1,2,3,1,1,2,2,3,3,9,9
"306",1,1,30,3,2,1,8,1,1,0,4,3,4,2
"307",1,1,39,1,2,3,1,1,1,0,2,2,4,2
"308",1,1,38,1,1,1,2,1,1,0,3,3,1,3
"309",1,2,41,3,2,3,1,1,1,0,4,2,4,3
"310",1,2,73,2,1,1,8,1,1,0,4,2,4,8
"311",1,2,40,2,2,3,1,1,1,0,5,4,2,2
"312",1,2,56,2,1,2,2,1,1,0,4,4,2,2
"313",1,1,74,1,3,2,1,1,1,0,2,2,2,4
"314",1,2,46,1,1,2,1,1,2,2,3,3,2,3
"315",1,1,68,1,3,3,1,1,1,0,5,3,4,3
"316",1,1,60,1,1,1,2,1,1,0,4,3,1,3
"317",1,2,24,1,1,1,1,1,2,1,5,2,4,2
"318",1,1,43,1,3,1,2,1,1,0,4,2,4,3
"319",1,2,77,2,3,1,3,1,1,0,5,3,4,3
"320",1,1,52,1,1,1,1,1,1,0,2,2,3,4
"321",1,2,58,1,3,8,1,1,2,8,5,2,4,4
"322",1,1,83,2,1,1,3,1,2,1,8,2,2,3
"323",1,1,68,1,2,8,1,1,1,0,3,2,2,4
"324",1,1,18,4,2,3,2,1,1,0,3,2,4,4
"325",1,1,48,1,1,1,1,1,1,0,5,2,4,2
"326",1,2,52,1,1,3,1,1,1,0,4,5,3,4
"327",1,2,22,2,2,1,2,1,1,0,4,2,4,3
"328",1,1,56,5,2,3,8,1,2,2,5,5,4,4
"329",1,2,53,1,3,1,2,1,1,0,5,3,4,3
"330",1,2,23,4,2,3,1,1,3,1,5,2,4,4
"331",1,1,48,4,2,3,3,1,2,2,5,5,4,4
"332",1,1,27,2,2,8,1,1,2,2,4,4,4,3
"333",1,2,55,1,3,2,3,1,1,0,3,3,2,3
"334",1,2,65,2,1,2,2,1,3,1,4,2,4,2
"335",1,1,19,1,1,1,3,1,1,0,3,2,3,4
"336",1,2,61,2,3,1,1,1,8,1,5,2,3,4
"337",1,1,48,1,1,2,1,1,1,0,4,1,4,3
"338",1,2,60,4,3,3,1,1,1,0,4,2,3,4
"339",1,1,57,2,1,3,8,2,2,2,4,2,9,9
"340",1,1,55,1,3,1,8,1,1,0,3,3,3,3
"341",1,1,52,2,2,2,1,1,2,2,5,2,4,2
"342",1,1,40,1,1,3,1,1,1,0,2,2,4,4
"343",1,1,82,1,2,1,1,1,1,0,2,2,1,4
"344",1,2,39,2,1,1,9,1,1,0,5,5,4,4
"345",1,2,55,1,1,2,1,1,1,0,4,4,4,4
"346",1,1,71,2,1,2,8,1,1,0,2,2,2,4
"347",1,1,55,2,2,1,8,1,1,0,5,4,4,2
"348",1,1,21,5,3,3,1,1,2,1,8,2,3,3
"349",1,1,51,2,2,3,1,1,1,0,2,2,3,3
"350",1,1,64,2,2,1,8,1,1,0,4,2,2,4
"351",1,2,37,5,2,3,8,1,2,1,5,4,4,4
"352",1,2,48,1,1,3,2,1,1,0,4,2,4,4
"353",1,1,69,2,1,3,1,1,3,8,3,2,2,4
"354",1,2,72,1,1,2,2,1,1,0,4,2,4,4
"355",1,2,46,1,3,3,8,1,1,0,5,4,4,3
"356",1,1,21,1,2,3,1,1,1,0,4,4,2,3
"357",1,1,65,1,2,8,8,1,1,0,4,3,4,4
"358",1,2,40,1,1,1,8,1,1,0,4,3,9,9
"359",1,1,31,1,1,1,1,1,1,0,5,2,4,2
"360",1,2,61,2,3,1,2,1,1,0,4,2,3,4
"361",1,1,52,2,3,1,1,1,1,0,5,4,4,3
"362",1,1,53,4,2,3,1,1,3,1,4,4,3,3
"363",1,1,71,3,1,2,1,1,1,0,2,2,2,4
"364",1,1,42,2,1,1,2,1,1,0,3,2,4,2
"365",1,2,57,2,2,1,1,2,2,2,2,2,3,3
"366",1,1,50,2,2,2,1,1,1,0,5,2,4,3
"367",1,2,84,1,1,1,2,1,1,0,5,4,3,2
"368",1,2,73,1,1,1,1,1,1,0,2,2,2,4
"369",1,2,50,1,3,1,2,1,2,1,5,2,4,3
"370",1,2,45,1,3,1,8,1,8,1,5,4,3,3
"371",1,2,57,2,3,1,3,1,1,0,4,2,2,4
"372",1,2,51,2,1,1,1,1,1,0,4,4,2,2
"373",1,1,50,1,1,8,1,1,2,1,2,2,3,3
"374",1,2,56,2,3,8,9,1,1,0,4,4,4,3
"375",1,2,52,2,3,1,1,1,1,0,5,5,4,3
"376",1,2,45,1,1,1,2,1,8,1,4,2,3,3
"377",1,1,80,2,3,8,1,1,1,0,3,3,4,3
"378",1,2,54,1,3,3,1,1,1,0,5,2,4,4
"379",1,2,49,4,2,3,8,2,2,2,5,2,4,3
"380",1,2,18,2,2,3,1,1,1,0,4,4,2,2
"381",1,2,47,2,2,2,2,1,1,0,4,2,3,3
"382",1,1,48,4,2,2,1,2,2,8,2,3,2,4
"383",1,2,40,1,3,3,1,2,9,1,4,5,3,4
"384",1,1,80,1,3,1,2,1,3,1,2,4,1,4
"385",1,1,73,2,3,3,1,1,8,1,4,2,4,2
"386",1,2,52,2,1,1,3,1,8,1,4,2,4,4
"387",1,1,72,2,1,2,1,1,2,1,2,3,1,3
"388",1,1,49,2,3,2,1,1,1,0,5,4,4,3
"389",1,1,68,4,2,3,8,1,2,2,3,2,4,3
"390",1,1,42,3,1,1,1,1,2,2,2,2,4,4
"391",1,2,29,1,3,2,1,1,2,2,5,4,2,3
"392",1,2,57,2,1,1,2,1,1,0,4,4,2,4
"393",1,1,51,3,1,1,1,1,1,0,4,4,3,4
"394",1,1,36,1,1,1,2,1,1,0,4,2,3,3
"395",1,1,32,5,2,3,2,2,2,2,4,2,4,3
"396",1,2,77,2,3,2,8,1,1,0,4,2,4,3
"397",1,1,39,1,1,3,2,1,2,1,2,1,3,4
"398",1,2,37,1,1,1,2,1,2,1,4,2,3,4
"399",1,1,81,5,1,1,3,1,1,0,5,2,4,3
"400",1,1,81,2,1,1,8,1,1,0,2,2,2,4
"401",1,2,42,2,1,2,1,1,2,1,2,2,1,1
"402",1,2,48,1,1,1,2,1,2,1,4,1,4,3
"403",1,2,72,1,1,1,3,1,1,0,2,2,3,4
